puesto,fecha,cantidad
diseñador,2008,59
diseñador,2009,206
diseñador,2010,332
diseñador,2011,552
diseñador,2012,305
diseñador,2013,302
diseñador,2014,350
diseñador,2015,470
diseñador,2016,540
diseñador,2017,592
diseñador,2018,810
programador,2008,61
programador,2009,215
programador,2010,449
programador,2011,630
programador,2012,453
programador,2013,350
programador,2014,443
programador,2015,468
programador,2016,534
programador,2017,488
programador,2018,577
marketing,2008,1
marketing,2009,9
marketing,2010,33
marketing,2011,69
marketing,2012,37
marketing,2013,34
marketing,2014,42
marketing,2015,49
marketing,2016,113
marketing,2017,117
marketing,2018,199
front,2008,1
front,2009,14
front,2010,19
front,2011,52
front,2012,60
front,2013,90
front,2014,109
front,2015,151
front,2016,184
front,2017,203
front,2018,225
ux,2008,1
ux,2009,2
ux,2010,8
ux,2011,20
ux,2012,30
ux,2013,20
ux,2014,33
ux,2015,86
ux,2016,96
ux,2017,90
ux,2018,164
