fecha,presencial,remoto
may-19,480,45
apr-19,341,36
mar-19,336,43
feb-19,317,50
jan-19,311,35
dec-18,152,23
nov-18,550,62
oct-18,421,47
sep-18,348,44
aug-18,194,21
jul-18,240,30
jun-18,303,28
may-18,260,29
apr-18,236,22
mar-18,217,33
feb-18,277,20
jan-18,184,19
dec-17,128,15
nov-17,208,37
oct-17,184,23
sep-17,201,27
aug-17,146,15
jul-17,164,23
jun-17,208,25
may-17,220,25
apr-17,207,24
mar-17,240,22
feb-17,182,13
jan-17,202,10
dec-16,141,9
nov-16,191,19
oct-16,208,18
sep-16,212,22
aug-16,164,12
jul-16,173,14
jun-16,206,15
may-16,196,
apr-16,189,2
mar-16,212,
feb-16,235,
jan-16,202,2
dec-15,134,
nov-15,201,
oct-15,185,
sep-15,182,
aug-15,103,
jul-15,141,
jun-15,137,
may-15,167,
apr-15,195,
mar-15,199,
feb-15,161,
jan-15,138,
dec-14,97,
nov-14,119,
oct-14,131,
sep-14,136,
aug-14,72,
jul-14,122,
jun-14,112,
may-14,104,3
apr-14,120,
mar-14,120,
feb-14,136,
jan-14,134,
dec-13,116,
nov-13,119,
oct-13,85,
sep-13,88,
aug-13,64,
jul-13,102,
jun-13,120,7
may-13,79,
apr-13,92,
mar-13,88,
feb-13,102,
jan-13,99,
dec-12,58,4
nov-12,85,7
oct-12,85,6
sep-12,96,
aug-12,68,
jul-12,89,5
jun-12,107,7
may-12,152,6
apr-12,129,
mar-12,163,
feb-12,201,
jan-12,136,8
dec-11,153,10
nov-11,230,18
oct-11,216,32
sep-11,227,35
aug-11,123,11
jul-11,180,19
jun-11,201,17
may-11,257,15
apr-11,190,17
mar-11,200,
feb-11,160,
jan-11,176,8
dec-10,118,9
nov-10,136,9
oct-10,146,8
sep-10,156,8
aug-10,71,
jul-10,86,
jun-10,114,
may-10,109,14
apr-10,107,
mar-10,110,13
feb-10,105,3
jan-10,75,4
dec-09,70,
nov-09,86,
oct-09,77,10
sep-09,68,7
aug-09,32,4
jul-09,67,
jun-09,62,
may-09,45,
apr-09,47,
mar-09,60,
feb-09,46,5
jan-09,52,
dec-08,39,
nov-08,59,
oct-08,80,6
